	Amsterdam	Athínai	Barcelona	Basel	Beograd	Berlin	Bern	Bordeaux	Bratislava	Brindisi	Bruxelles	Bucuresti	Budapest	Calais	Dublin	Edinburgh	Esbjerg	Frankfurt am Main	Frederikshavn	Genève	Genova	Hamburg	Hammerfest	Helsinki	Hoek v. Holland	Innsbruck	Istanbul	Köln	København	Lisboa	Ljubljana	London	Luxembourg	Madrid	Málaga	Marseille	Milano	Moskva	München	Oslo	Palermo	Paris	Praha	Puttgarden	Roma	Sassnitz	Sofija	Stockholm	Tallinn	Trieste	Wien	Warszawa	Zagreb	Zürich
Amsterdam	0	2970	1620	760	1800	660	850	1070	1230	2130	210	2328	1442	380	878	1000	720	460	960	880	1280	440	3240	1830	80	980	2780	260	760	2300	1280	550	390	1760	2340	1280	1140	2541	843	1370	2690	510	910	590	1730	600	2190	1390	2280	1360	1160	1220	1410	880
Athínai	2970	0	3250	2490	1170	2470	2520	3400	1820	660	2810	1299	1634	3020	3933	3840	3010	2530	3290	2530	2350	2770	5320	3910	2990	2090	1130	2740	2880	4530	1690	3200	2600	3880	4310	2750	2210	3217	2227	3460	3340	2940	2130	2920	2450	2760	820	3470	3310	1790	1810	2250	1560	2599
Barcelona	1620	3250	0	1010	2080	1840	920	660	1830	1970	1410	2650	2020	1400	2110	2200	2070	1340	2310	770	900	1790	4590	3180	1590	1300	3050	1350	2110	1280	1550	1560	1160	630	1060	500	1040	3730	1410	2720	2370	1110	1690	1940	1410	2100	2470	2740	3510	1440	1760	2450	1680	1050
Basel	760	2490	1010	0	1380	860	90	950	910	1350	550	1830	1000	750	1440	1530	1100	330	1340	230	520	820	3620	2210	730	380	2360	450	1140	1140	870	890	330	1640	2070	670	380	2630	470	1750	1930	490	730	970	970	1130	1770	1770	2410	770	840	1350	1000	90
Beograd	1800	1170	2080	1380	0	1310	1330	2040	650	1680	1670	713	395	1860	2694	2670	1880	1370	2120	1370	1180	1600	4170	2760	1850	910	980	1540	1680	3360	520	2030	1430	2710	3140	1580	1040	2147	988	2300	2170	1780	969	1750	1280	1600	390	2320	2140	620	650	1080	390	1290
Berlin	660	2470	1840	860	1310	0	930	1660	660	2010	780	1771	922	990	1720	1810	470	1080	810	1080	1130	289	2870	1460	740	730	2290	570	390	3000	1310	1170	750	2530	2900	1520	1010	1856	584	1000	2450	1090	340	440	1490	290	1700	1020	1620	1090	660	560	1440	845
Bern	850	2520	920	90	1330	930	0	860	930	1320	640	1900	1130	840	1520	1610	1190	410	1430	150	490	910	3710	2300	820	400	2320	580	1230	2200	790	970	420	1550	2020	580	350	2680	440	1840	1900	550	780	1060	940	1220	1720	1860	2460	770	860	1400	920	130
Bordeaux	1070	3400	660	950	2040	1660	860	0	1790	2100	860	2630	1990	850	1530	1620	1760	1030	2000	710	1060	1480	4280	2870	1040	1260	3020	1050	1800	1230	1520	980	880	690	1270	630	1000	3580	1320	2410	2500	560	1540	1630	1540	1790	2430	2430	3360	1420	1720	2300	1650	990
Bratislava	1230	1820	1830	910	650	660	930	1790	0	1750	1190	1080	250	1440	2130	2220	1230	790	1470	1080	1030	950	3540	1680	1270	530	1570	980	1060	3070	420	1580	1000	2450	2890	1440	890	1900	530	1670	2100	1270	320	1100	1210	950	1040	1690	1680	520	70	620	440	820
Brindisi	2130	660	1970	1350	1680	2010	1320	2100	1750	0	1900	2270	1790	2120	2720	2810	2450	1690	2690	1920	1070	2170	4970	3430	2080	1270	1100	1890	2490	3250	1200	2170	1680	2600	3030	1470	990	3650	1440	3100	630	1790	1800	2320	580	2300	2070	3120	3430	1100	1680	2370	1420	1290
Bruxelles	210	2810	1410	550	1670	780	640	860	1190	1900	0	2283	1397	210	940	1030	880	410	1120	680	1070	600	3400	1990	180	870	2650	220	920	2090	1350	390	220	1550	2130	1070	930	2645	798	1530	2480	300	911	750	1520	910	2060	1550	2400	1250	1120	1340	1480	659
Bucuresti	2328	1299	2650	1830	713	1771	1900	2630	1080	2270	2283	0	830	2460	3191	3230	2310	1800	2550	2172	1770	2060	4630	3220	2380	1500	730	2070	2134	4147	1110	2590	2030	3280	3710	2150	1630	1918	1701	2734	2760	2447	1460	2180	2034	2320	427	2764	2270	1210	1151	1181	970	2003
Budapest	1442	1634	2020	1000	395	922	1130	1990	250	1790	1397	830	0	1580	2035	2400	1480	970	1720	1294	1150	1211	3770	2360	1550	730	1320	1240	1833	3241	460	1771	1200	2620	3080	1530	1010	1953	711	1962	2210	1561	574	1350	1349	1490	777	1992	1740	560	265	674	330	1013
Calais	380	3020	1400	750	1860	990	840	850	1440	2120	210	2460	1580	0	670	760	1090	620	1330	840	1270	820	3610	2200	390	1040	2840	410	1130	2360	1560	120	420	1540	2120	1060	1130	2830	1010	1740	2680	290	1120	960	1720	1130	2250	1760	2610	1460	1360	1550	1700	840
Dublin	878	3933	2110	1440	2694	1720	1520	1530	2130	2720	940	3191	2035	670	0	500	1820	1350	2060	1570	1920	1540	4340	2930	880	1790	3560	1080	1860	2870	2270	550	1150	2220	2800	1760	1770	3560	1560	2470	3320	1000	1860	1690	2360	1850	2970	2490	3340	2170	2060	2280	2400	1567
Edinburgh	1000	3840	2200	1530	2670	1810	1610	1620	2220	2810	1030	3230	2400	760	500	0	1910	1440	2150	1580	2010	1630	4430	3020	980	1880	3650	1250	1950	2960	2370	640	1240	2310	2890	1850	1860	3650	1780	2560	3410	1090	1950	1780	2450	1940	3060	2580	3430	2270	2150	2370	2500	1620
Esbjerg	720	3010	2070	1100	1880	470	1190	1760	1230	2450	880	2310	1480	1090	1820	1910	0	770	330	1340	1620	280	2650	1360	800	1200	2840	510	290	2990	1360	1270	910	2450	3030	1730	1480	2410	1070	550	2920	1200	910	360	1960	590	2270	920	1040	1260	1230	1130	1500	1210
Frankfurt am Main	460	2530	1340	330	1370	1080	410	1030	790	1690	410	1800	970	620	1350	1440	770	0	1010	570	860	490	3290	1880	490	520	2320	200	810	2470	830	800	230	1820	2400	1000	720	2380	400	1420	2240	571	500	640	1280	800	1740	1440	2160	900	720	1100	970	440
Frederikshavn	960	3290	2310	1340	2120	810	1430	2000	1470	2690	1120	2550	1720	1330	2060	2150	330	1010	0	1580	1860	520	2370	1560	1040	1440	3080	950	490	3230	1600	1510	1150	2690	3270	1970	1720	2650	1320	inf	3160	1440	1150	570	2200	760	2510	1120	700	1500	1470	1370	1740	1450
Genève	880	2530	770	230	1370	1080	150	710	1080	1920	680	2172	1294	840	1570	1580	1340	570	1580	0	430	1090	3890	2450	860	550	2330	710	1380	2050	840	930	490	1400	1830	430	330	2995	583	1990	1880	571	948	1170	910	1370	1760	2010	2610	740	1010	1550	980	281
